prize,country,year,author,author_country,book_title
Booker,UK,1969,P. H. Newby,ENG,Something to Answer For
Booker,UK,1970,Bernice Rubens,WAL,The Elected Member
Booker,UK,1971,V. S. Naipaul,UK  TTO,In a Free State
Booker,UK,1972,John Berger,ENG,G.
Booker,UK,1973,J. G. Farrell,ENG  IRL,The Siege of Krishnapur
Booker,UK,1974,Nadine Gordimer,ZAF,The Conservationist
Booker,UK,1974,Stanley Middleton,ENG,Holiday
Booker,UK,1975,Ruth Prawer Jhabvala,UK  DE,Heat and Dust
Booker,UK,1976,David Storey,ENG,Saville
Booker,UK,1977,Paul Scott,ENG,Staying On
Booker,UK,1978,Iris Murdoch,ENG  IRL,"The Sea, the Sea"
Booker,UK,1979,Penelope Fitzgerald,ENG,Offshore
Booker,UK,1980,William Golding,ENG,Rites of Passage
Booker,UK,1981,Salman Rushdie,ENG,Midnight's Children
Booker,UK,1982,Thomas Keneally,AUS,Schindler's Ark
Booker,UK,1983,J. M. Coetzee,ZAF,Life & Times of Michael K
Booker,UK,1984,Anita Brookner,ENG,Hotel du Lac
Booker,UK,1985,Keri Hulme,NZL,The Bone People
Booker,UK,1986,Kingsley Amis,ENG,The Old Devils
Booker,UK,1987,Penelope Lively,ENG,Moon Tiger
Booker,UK,1988,Peter Carey,AUS,Oscar and Lucinda
Booker,UK,1989,Kazuo Ishiguro,ENG,The Remains of the Day
Booker,UK,1990,A. S. Byatt,ENG,Possession
Booker,UK,1991,Ben Okri,NGR,The Famished Road
Booker,UK,1992,Michael Ondaatje,CAN  SRI,The English Patient
Booker,UK,1992,Barry Unsworth,ENG,Sacred Hunger
Booker,UK,1993,Roddy Doyle,IRL,Paddy Clarke Ha Ha Ha
Booker,UK,1994,James Kelman,SCO,"How Late It Was, How Late"
Booker,UK,1995,Pat Barker,ENG,The Ghost Road
Booker,UK,1996,Graham Swift,ENG,Last Orders
Booker,UK,1997,Arundhati Roy,IND,The God of Small Things
Booker,UK,1998,Ian McEwan,ENG,Amsterdam
Booker,UK,1999,J. M. Coetzee,RSA,Disgrace
Booker,UK,2000,Margaret Atwood,CAN,The Blind Assassin
Booker,UK,2001,Peter Carey,AUS,True History of the Kelly Gang
Booker,UK,2002,Yann Martel,CAN,Life of Pi
Booker,UK,2003,DBC Pierre,AUS,Vernon God Little
Booker,UK,2004,Alan Hollinghurst,ENG,The Line of Beauty
Booker,UK,2005,John Banville,IRL,The Sea
Booker,UK,2006,Kiran Desai,IND,The Inheritance of Loss
Booker,UK,2007,Anne Enright,IRL,The Gathering
Booker,UK,2008,Aravind Adiga,IND,The White Tiger
Booker,UK,2009,Hilary Mantel,ENG,Wolf Hall
Booker,UK,2010,Howard Jacobson,ENG,The Finkler Question
Booker,UK,2011,Julian Barnes,ENG,The Sense of an Ending
Booker,UK,2012,Hilary Mantel,ENG,Bring Up the Bodies
Booker,UK,2013,Eleanor Catton,NZL,The Luminaries
Booker,UK,2014,Richard Flanagan,AUS,The Narrow Road to the Deep North
Booker,UK,2015,Marlon James,JAM,A Brief History of Seven Killings
Booker,UK,2016,Paul Beatty,USA,The Sellout
Booker,UK,2017,George Saunders,USA,Lincoln in the Bardo
Booker,UK,2018,Anna Burns,UK,Milkman
Booker,UK,2019,Margaret Atwood,CAN,The Testaments
Booker,UK,2019,Bernardine Evaristo,ENG,"Girl, Woman, Other"
Booker,UK,2020,Douglas Stuart,SCO  USA,Shuggie Bain
Booker,UK,2021,Damon Galgut,RSA,The Promise
Booker,UK,2022,Shehan Karunatilaka,SRI,The Seven Moons of Maali Almeida
Booker,UK,2023,Paul Lynch,IRL,Prophet Song
Booker,UK,2024,Samantha Harvey,ENG,Orbital
Booker,UK,2025,David Szalay,CAN  HUN,Flesh
